time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,breakdown_topic,breakdown,sex,no_schools_y1,t_phonics_y1_eligible_pupils,t_phonics_y1_met_expected_standard,t_phonics_y1_working_towards_expected_standard,t_phonics_y1_absent,t_phonics_y1_disapplied,pt_phonics_y1_met_expected_standard,pt_phonics_y1_working_towards_expected_standard,pt_phonics_y1_absent,pt_phonics_y1_disapplied,no_schools_y2,t_phonics_by_end_y2_eligible_pupils,t_phonics_by_end_y2_met_expected_standard,t_phonics_by_end_y2_working_towards_expected_standard,t_phonics_by_end_y2_absent,t_phonics_by_end_y2_disapplied,pt_phonics_by_end_y2_met_expected_standard,pt_phonics_by_end_y2_working_towards_expected_standard,pt_phonics_by_end_y2_absent,pt_phonics_by_end_y2_disapplied
201819,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,All pupils,Total,Total,71,3522,2896,547,7,72,82,16,0,2,71,3624,3290,279,3,52,91,8,0,1
201819,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,SEN status,EHC plan,Total,20,73,10,18,1,44,14,25,1,60,28,81,16,27,0,38,20,33,0,47
201819,Academic year,National,E92000001,England,,,,,,All pupils,Total,Total,16402,649490,531470,105740,1293,10985,82,16,0,2,16440,665461,607926,47989,826,8719,91,7,0,1
201819,Academic year,National,E92000001,England,,,,,,SEN status,EHC plan,Total,5819,13552,2642,4653,65,6192,19,34,0,46,6467,15915,4611,4866,70,6368,29,31,0,40
202122,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,All pupils,Total,Total,71,3721,2602,904,110,105,70,24,3,3,70,3629,3038,499,22,70,84,14,1,2
202122,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,SEN status,EHC plan,Total,24,95,3,23,2,67,3,24,2,71,29,102,12,30,1,59,12,29,1,58
202122,Academic year,National,E92000001,England,,,,,,All pupils,Total,Total,16450,638014,481350,138687,2566,15379,75,22,0,2,16498,638378,555164,69488,1583,12134,87,11,0,2
202122,Academic year,National,E92000001,England,,,,,,SEN status,EHC plan,Total,7598,18479,3446,6097,128,8808,19,33,1,48,7979,20558,5842,6003,135,8578,28,29,1,42
202223,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,SEN status,EHC plan,Total,26,90,11,25,1,53,12,28,1,59,25,114,14,28,2,70,12,25,2,61
202223,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,All pupils,Total,Total,72,3689,2771,807,9,102,75,22,0,3,71,3777,3297,390,7,83,87,10,0,2
202223,Academic year,National,E92000001,England,,,,,,SEN status,EHC plan,Total,8052,20255,3967,6645,115,9525,20,33,1,47,8738,22998,6781,6958,152,9107,29,30,1,40
202223,Academic year,National,E92000001,England,,,,,,All pupils,Total,Total,16512,632886,499026,116233,1929,15593,79,18,0,2,16530,645655,571761,60482,1384,11994,89,9,0,2
202324,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,SEN status,EHC plan,Total,29,112,10,28,2,72,9,25,2,64,29,117,30,28,0,59,26,24,0,50
202324,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,All pupils,Total,Total,72,3719,2817,769,11,122,76,21,0,3,73,3790,3342,364,8,76,88,10,0,2
202324,Academic year,National,E92000001,England,,,,,,SEN status,EHC plan,Total,8921,23249,4674,7319,132,11119,20,31,1,48,9500,26129,8032,7463,155,10475,31,29,1,40
202324,Academic year,National,E92000001,England,,,,,,All pupils,Total,Total,16493,622901,499790,103870,1762,17379,80,17,0,3,16698,642099,571346,55807,1232,13659,89,9,0,2
